27Owkm4TGlMqb0BqaEt3PW;1772688.0;latin alternative|latin hip hop|latin rock|mexican hip hop|mexican rock|rock en espanol;Molotov;69
4tz6R7C3fhe05AWr2d1XJy;1038.0;-;Nataliya Vlasova;30
0GxSAKOw8AV0JsEQ0HYY4b;8002.0;broadway|comic|hollywood|show tunes;Andrew Rannells;57
3wzGjN26jzqLY2Gc836sjC;21595.0;thai pop;Rooftop;50
53cVnpkm8dTmf20tssYSNF;126761.0;dembow|dominican pop|rap dominicano;Shadow Blow;56
10CN8N2O3FlGlPVJWBiu5D;22103.0;art song|choral|classical|classical baritone|classical performance|opera;Dietrich Fischer-Dieskau;47
1xtClintZXLr9RrzKzwBeM;2024.0;-;Baim;35
6Wg3akugFVCH4iYhEKk0GM;173.0;-;Roshan;26
2b6Cbp1cgD0hwisrGbKsZJ;944.0;-;Freedo;57
6fEZjgt9MHR4Hp3MiBRZHX;41363.0;gaming edm;Itro;50
6Cf9Kz03uwotWLgvOOc95s;6732.0;classic colombian pop|cumbia|cumbia sonidera|folclor colombiano|musica colombiana instrumental;Jaime Llano González;36
1eUe6WwbxQDsrEYWlwAl8v;5449.0;reggae tico;Shel Dixon;31
1FNSqXGM9P5p5sItvo4x5f;21.0;israeli classical|oriental classical;Marc Lavry;0
2yzxX2DI9LFK8VFTyW2zZ8;481740.0;album rock|hard rock|instrumental rock|metal guitar|neo classical metal|shred;Joe Satriani;59
5JKxm6ng0oqEUkLXIyYsPD;11893.0;greek hip hop;FF.C;27
22DpF66KIdKHmy1IvzEZXc;53316.0;brazilian edm;Joy Corporation;53
3V8vKHOlOSNdH2IJjtghNf;514.0;classic cantopop|vintage cantonese pop;薰妮;25
0V9gYA1mM1zlUk1HKMyb5t;27203.0;punk urbano|spanish punk;Gritando en Silencio;45
0sIBuFIVx9aJPC9BM2QBBk;152.0;vintage swing;Cootie Williams & His Rug Cutters;4
2sijQ6zO0MAirKsBw2GNwz;734.0;northern soul;Rita & The Tiaras;31
21BHWjiyjDuV1kozTaz0SC;0.0;-;Peter Erasmus Lange-Müller;0
4UzgFHHFfl4vf1UUmnORrA;9080.0;canadian rock;The Philosopher Kings;26
3IJFGnsUboabVEbJz1UR91;107482.0;australian alternative rock|australian pop|australian rock;Noiseworks;49
5XsJUeCgWNqWTSnUVTjVJh;59.0;-;Sunday in the Park with George Original Broadway Cast Ensemble;12
1yWjbmwKNd1q0PI1V1BuQ7;23310.0;dutch hip hop|dutch rap pop;Lauwtje;53
79yjD6mmhxvqiHHIeq2jnx;262.0;musique concrete;Jean Schwarz;13
1PIBRn3Tb0BoePNMQ6CA3R;93.0;-;Michell Berthou;21
7EgAHTw2PMP7a1tAEtue89;75087.0;greek metal|greek psychedelic rock|greek rock|instrumental stoner rock|psychedelic doom|retro metal|space rock|stoner metal|stoner rock;1000mods;45
1MOoTIFOvJ60ATvyRXPPXg;59443.0;heartland rock|new romantic|new wave|new wave pop|soft rock;Cock Robin;54
2Gaa3k3RhvsnN5U3gLyNpV;1000.0;folklore ecuatoriano;Quimera;22
4IBl8k6ZsBagsI5zRjyXH7;19716.0;classical performance|string quartet;Emerson String Quartet;48
7wgFEGRrYFP4dzH8aA80wi;17.0;poetry;Louis MacNeice;0
6P2IcurmnwVjz9LBMoinuj;12878.0;anarcho-punk|crossover thrash|crust punk|hardcore punk|oi|street punk|thrash core|uk82;Broken Bones;25
0ShV0veaBj1NvWRORhuwlI;5453.0;power pop|pub rock|underground power pop;The Rubinoos;27
2vLjx6127Kl6p52CsdgW0Y;2301.0;-;Aamupojat;28
6OV4S80ZWuyhrCLERsyYsz;1900.0;-;Blake Jarrell;17
1gnCY4fRt3CCsXWaAZVt2T;407.0;-;Tim Verkruissen;10
08w1QibsyhcJnRCr3rGo0H;130.0;-;Ghost on tape;2
1sTs8GU5lgBiANf1OypPp8;1804.0;dutch idol pop;Cheyenne Toney;44
2sDLEhE1UsOi6zu5ZiYn2J;10.0;-;Winfried Zillig;3
32GMj177nVLZPp3lqVrCXp;34236.0;nz hip hop;Kings;55
0bPOOMpOPbgBrsOrt1Sfvi;6739.0;classic icelandic pop|icelandic rock;Björgvin Halldórsson;40
2ojmPypSGMyKaRvknyxKKP;36385.0;greek contemporary classical|soundtrack;Eleni Karaindrou;55
15bqWZXpkyJCsuOfTjcHLF;15129.0;dutch rock|streektaal;Twarres;40
6DgP9otnZw5z6daOntINxp;174167.0;dance pop|edm|house|pop dance|tropical house|uk dance;Joel Corry;83
39aV9if9R4QuPZxrJsxc9a;14172.0;doo-wop|rhythm and blues;The Monotones;43
5nyjJRg5OdmKDdG2s9qljE;10081.0;-;Toko Miura;55
4VIU80QkcrMEdKoiWmnWvr;129754.0;cantautor|rock en espanol|spanish new wave|spanish pop;Cómplices;52
0xE4WKw4GFrXXcWzB3iPcw;1383.0;nederpop;Hank The Knife And The Jets;25
5rZBf98LYsLRiMSGCAhyxk;166.0;-;Sequentia;9
7IpWQKu80qQvyer3LO6SW3;159894.0;german alternative rap|german hip hop|german pop;Max Herre;52
6rVRU7I6r1lt6bhXGYTRQL;18990.0;post-doom metal;Mantar;28
1AhA5UAPUefljVYKupe1xp;451.0;-;Pieter Nooten And Michael Brook;17
0nvVCoiYH184eR8CDXfx3r;1215.0;bouzouki;Giorgos Zambetas;21
4YqT0GKdxXEXwH4xsJb7SH;74.0;-;Mari;34
6YE9AsYZpvFpf2UtcSOyrg;9392.0;slovak folk|slovak pop;Kollárovci;36
13RtX4mHQfRbaM729h3d4M;362.0;disney italiano;Luca Velletri;32
4q1EhQMPIZqEjIQFQ8gWpV;53.0;-;A. Melin;22
207mAMoq5YcM6OcFBNg9ZP;349.0;romantico|smooth saxophone;Daisy James;23
61zDO2QYqCYmNQR19APBUa;886.0;-;Unicos De Mexico;28
7gVEby21xqzjD8mZn9rDGZ;2183.0;corridos cristianos;Conjunto Bernal;25
1SLUSG19BtbUxxaxLaf2CP;111.0;-;Richard Morel;27
19rUh2xW9SuBUv5BflsdKq;43733.0;europop|moldovan pop|romanian pop|russian pop|ukrainian pop;Dan Balan;52
5zsxashTsy1vsqqIbxeYDZ;75.0;west african jazz;Rocka Mambo;3
0jMZY406RfgjK6PFKIRfAv;116422.0;classic j-pop|j-pop|japanese singer-songwriter;Kohmi Hirose;49
33XlSaIAbbYeUAblccF2KL;163.0;-;Jimmy Lunceford and His Orchestra;4
2BN56RiDqfk65FZk1IhUO1;571.0;finnish blues;Q.Stone;14
6p5JxpTc7USNnBnLzctyd4;863513.0;folk-pop|modern rock|neo mellow|pop rock;Phillip Phillips;65
01H1M5VvnktKBqpU0TX8Rl;5046.0;neo-classical;Benjamin Gustafsson;47
7pUnaNwiKa3p27L1EwB4X6;229875.0;gospel|world worship|worship;Israel Houghton;53
